Time to set up network: 3.6086730957
Node 20 transferred 1 to Node 89 (final dest: Node 35, left: 3)
Node 53 transferred 3 to Node 89 (final dest: Node 76, left: 0)
Node 55 transferred 4 to Node 96 (final dest: Node 33, left: 1)
Node 66 transferred 3 to Node 42 (final dest: Node 75, left: 1)
Node 77 transferred 1 to Node 80 (final dest: Node 41, left: 0)
Node 77 transferred 3 to Node 31 (final dest: Node 25, left: 0)
Node 79 transferred 2 to Node 80 (final dest: Node 16, left: 0)
Node 79 transferred 1 to Node 80 (final dest: Node 65, left: 0)
Node 79 transferred 2 to Node 80 (final dest: Node 1, left: 2)
Node 92 transferred 1 to Node 55 (final dest: Node 31, left: 0)
Iteration: 1
Node 7 transferred 2 to Node 2 (final dest: Node 3, left: 0)
Node 2 transferred 1 to Node 61 (final dest: Node 25, left: 0)
Node 37 transferred 1 to Node 21 (final dest: Node 21, left: 0)
Node 34 transferred 1 to Node 44 (final dest: Node 29, left: 0)
Node 34 transferred 4 to Node 1 (final dest: Node 10, left: 0)
Node 64 transferred 1 to Node 22 (final dest: Node 10, left: 4)
Node 6 transferred 4 to Node 7 (final dest: Node 7, left: 6)
Node 50 transferred 1 to Node 39 (final dest: Node 7, left: 1)
Node 73 transferred 1 to Node 11 (final dest: Node 44, left: 0)
Node 73 transferred 1 to Node 68 (final dest: Node 61, left: 3)
Node 94 transferred 1 to Node 56 (final dest: Node 29, left: 4)
Node 32 transferred 1 to Node 38 (final dest: Node 59, left: 0)
Node 16 transferred 2 to Node 39 (final dest: Node 45, left: 1)
Node 30 transferred 2 to Node 16 (final dest: Node 16, left: 0)
Node 17 transferred 1 to Node 56 (final dest: Node 65, left: 0)
Node 45 transferred 2 to Node 91 (final dest: Node 58, left: 0)
Node 22 transferred 2 to Node 1 (final dest: Node 78, left: 0)
Node 22 transferred 1 to Node 64 (final dest: Node 44, left: 8)
Node 27 transferred 1 to Node 30 (final dest: Node 2, left: 6)
Node 54 transferred 6 to Node 22 (final dest: Node 47, left: 1)
Node 31 transferred 3 to Node 60 (final dest: Node 25, left: 0)
Node 68 transferred 1 to Node 73 (final dest: Node 42, left: 8)
Node 71 transferred 1 to Node 10 (final dest: Node 16, left: 2)
Node 71 transferred 1 to Node 20 (final dest: Node 37, left: 0)
Node 80 transferred 5 to Node 82 (final dest: Node 41, left: 0)
Node 80 transferred 1 to Node 57 (final dest: Node 65, left: 0)
Node 44 transferred 2 to Node 34 (final dest: Node 35, left: 2)
Node 46 transferred 2 to Node 68 (final dest: Node 47, left: 0)
Node 42 transferred 4 to Node 89 (final dest: Node 58, left: 0)
Node 75 transferred 2 to Node 42 (final dest: Node 65, left: 4)
Node 89 transferred 1 to Node 20 (final dest: Node 72, left: 0)
Node 89 transferred 1 to Node 32 (final dest: Node 52, left: 0)
